Speed(RPM),RotorLoss(W),StatorLoss(W),MagnetLoss(W),PhaseOhmicLoss(W),PhaseProxLoss(W),TotalLoss(W)
5.2000000e+03,9.4253929e-02,5.3344245e+00,2.3341630e+00,4.3701756e+00,9.9002819e-02,1.2232020e+01
5.3000000e+03,9.7723141e-02,5.5140285e+00,2.4248017e+00,4.3701756e+00,1.0284723e-01,1.2509576e+01
5.4000000e+03,1.0125487e-01,5.6965389e+00,2.5171669e+00,4.3701756e+00,1.0676487e-01,1.2791901e+01
5.5000000e+03,1.0484911e-01,5.8819557e+00,2.6112585e+00,4.3701756e+00,1.1075574e-01,1.3078995e+01
5.6000000e+03,1.0850587e-01,6.0702788e+00,2.7070766e+00,4.3701756e+00,1.1481984e-01,1.3370857e+01
5.7000000e+03,1.1222514e-01,6.2615083e+00,2.8046211e+00,4.3701756e+00,1.1895716e-01,1.3667487e+01
5.8000000e+03,1.1600692e-01,6.4556441e+00,2.9038921e+00,4.3701756e+00,1.2316771e-01,1.3968886e+01
5.9000000e+03,1.1985122e-01,6.6526864e+00,3.0048895e+00,4.3701756e+00,1.2745148e-01,1.4275054e+01
6.0000000e+03,1.2375804e-01,6.8526350e+00,3.1076134e+00,4.3701756e+00,1.3180849e-01,1.4585991e+01
6.1000000e+03,1.2772737e-01,7.0554900e+00,3.2120638e+00,4.3701756e+00,1.3623872e-01,1.4901695e+01
6.2000000e+03,1.3175921e-01,7.2612514e+00,3.3182406e+00,4.3701756e+00,1.4074217e-01,1.5222169e+01
6.3000000e+03,1.3585357e-01,7.4699191e+00,3.4261438e+00,4.3701756e+00,1.4531886e-01,1.5547411e+01
6.4000000e+03,1.4001044e-01,7.6814932e+00,3.5357735e+00,4.3701756e+00,1.4996877e-01,1.5877422e+01
6.5000000e+03,1.4422983e-01,7.8959737e+00,3.6471297e+00,4.3701756e+00,1.5469191e-01,1.6212201e+01
6.6000000e+03,1.4851173e-01,8.1133606e+00,3.7602123e+00,4.3701756e+00,1.5948827e-01,1.6551748e+01
6.7000000e+03,1.5285615e-01,8.3336538e+00,3.8750213e+00,4.3701756e+00,1.6435786e-01,1.6896065e+01
6.8000000e+03,1.5726308e-01,8.5568534e+00,3.9915568e+00,4.3701756e+00,1.6930068e-01,1.7245150e+01
6.9000000e+03,1.6173253e-01,8.7829594e+00,4.1098188e+00,4.3701756e+00,1.7431672e-01,1.7599003e+01
7.0000000e+03,1.6626449e-01,9.0119718e+00,4.2298072e+00,4.3701756e+00,1.7940600e-01,1.7957625e+01
7.1000000e+03,1.7085896e-01,9.2438905e+00,4.3515220e+00,4.3701756e+00,1.8456850e-01,1.8321016e+01
7.2000000e+03,1.7551595e-01,9.4787156e+00,4.4749633e+00,4.3701756e+00,1.8980422e-01,1.8689175e+01
7.3000000e+03,1.8023546e-01,9.7164471e+00,4.6001311e+00,4.3701756e+00,1.9511317e-01,1.9062102e+01
7.4000000e+03,1.8501747e-01,9.9570850e+00,4.7270253e+00,4.3701756e+00,2.0049535e-01,1.9439799e+01
7.5000000e+03,1.8986201e-01,1.0200629e+01,4.8556460e+00,4.3701756e+00,2.0595076e-01,1.9822264e+01
7.6000000e+03,1.9476906e-01,1.0447080e+01,4.9859931e+00,4.3701756e+00,2.1147940e-01,2.0209497e+01
7.7000000e+03,1.9973862e-01,1.0696437e+01,5.1180667e+00,4.3701756e+00,2.1708126e-01,2.0601499e+01
7.8000000e+03,2.0477070e-01,1.0948700e+01,5.2518667e+00,4.3701756e+00,2.2275634e-01,2.0998269e+01
7.9000000e+03,2.0986529e-01,1.1203870e+01,5.3873932e+00,4.3701756e+00,2.2850466e-01,2.1399809e+01
8.0000000e+03,2.1502240e-01,1.1461946e+01,5.5246461e+00,4.3701756e+00,2.3432620e-01,2.1806116e+01
